会社名,タイトル
株式会社サンキョウテクノスタッフ | 日本を代表する上場企業と取引！安定した経営基盤が強み,安定企業で活躍【 製造管理スタッフ 】完全週休2日★未経験歓迎
ジブラルタ生命保険株式会社 | 九州・沖縄エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※九州・沖縄募集
ジブラルタ生命保険株式会社 | 北海道・東北エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※北海道・東北募集
ジブラルタ生命保険株式会社 | 中国・四国エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※中国・四国募集
三紀運輸株式会社 | 【三紀グループ】◎電話での問い合わせも歓迎 ⇒ 086-296-0909,賞与年3回【地場配送・長距離ドライバー(4t・大型)】未経験歓迎
ジブラルタ生命保険株式会社 | 北陸・甲信越エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※北陸・甲信越募集
ジブラルタ生命保険株式会社 | 関東エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※関東募集
ジブラルタ生命保険株式会社 | 東海エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※東海募集
ジブラルタ生命保険株式会社 | 関西エリアで高収入を実現｜【月給50万円以上】,【営業】(管理職)◆経験不問◆30代活躍中 ※関西募集
菱建商事株式会社 | 株式会社ピーエス三菱（東証1部上場）グループ ★年間休日127日,【施工管理】★年俸600万～750万円 ★残業1h以内 ★有給消化OK
有限会社エフクラス | <全国から応募歓迎>未経験OK/完全週休2日/残業少なめ/ノルマなし,アウトドア好きの心をくすぐる軽トラック等を提案！【反響営業】
有限会社福岡紙業 | 月給40万円以上も目指せる★新築マイホームを買った社員も多数！,★未経験OK★ ルート回収がメイン【ドライバー】※転勤なし！
井本刃物株式会社 | 創業約100年｜自衛隊や東京消防庁、警察署でも当社製品を採用！,未経験歓迎！人気上昇中のDIYツールを手掛ける【製造スタッフ】
株式会社相馬 | 直行直帰可◎大手ゼネコンと長期取引のため安定性◎,【現場管理スタッフ】働き方改革推進中！土日祝休み＊転勤なし
有限会社大浩商事 | 全国200か所以上に展開中の大手ペットショップグループ,子犬・子猫の【飼育管理】★鹿児島・佐賀限定募集！
株式会社日立物流中部 | 日立物流100％出資・東証一部上場グループ／転勤なし／桑名勤務,全員面接【倉庫内作業管理】月収28万円～可/賞与年2回/週休2日
株式会社中野産業 | 安定の働き方で定着抜群！／月収70万円以上のドライバーも活躍中,日帰り案件のみ！最新鋭のトラックに乗れる【大型ドライバー】
TAOCC株式会社 | 企業向けに不動産ビジネスを展開する成長企業！★完全土日休み,≪最大限前給考慮≫ 法人用不動産の【仲介営業】★テレワークOK
有限会社大浩商事 | 全国200か所以上に展開中の大手ペットショップグループ,子犬・子猫の【飼育管理】★宮城・千葉限定募集！
株式会社アネーラ | 入社1年目で<月収35万円超>の先輩も！／入社祝金制度あり,コープの一員として活躍【ルート配送】日中業務のみ/完全週休2日
株式会社アイプロホールディングス | ◆残業月20h以内/営業中央値年収約713万円/有給消化率85％,【創立30周年】人と家を”つなぐ”仕事【不動産販売／営業】
有限会社リーライダーす | TV番組・動画制作会社◆20年以上テレビ業界を支えてきた安定企業,【TV番組のディレクター】YouTubeの動画編集も◎月給30万円以上
有限会社扶桑物流 | ＜ 扶桑グループ ＞★すべての営業所にて積極採用中！,安心して働ける【路線便ドライバー(大型)】★免許取得制度あり
株式会社三橋企画 | 【新規開拓なし】大手企業からの紹介メイン ★完休2日★面接1回,【リフォームアドバイザー】★未経験でも月給25万円スタート！
特定非営利活動法人みらい | 放課後等デイサービス 児童発達支援 えがお | 3月に新施設OPEN！,高待遇が魅力の【児童発達支援スタッフ】※入社祝金5万円支給※
三英運輸株式会社 | 《安定性抜群》大手企業と直接取引＆コロナ禍でもニーズ増！,【ドライバー】★未経験OK ★特殊車両中心 ★夕食は自宅で
株式会社サン・サービス | ◆月30万円以上◆未経験大歓迎!充実な研修有◆大手企業取引多数!,30～40代活躍中×面接1回◎快適車内空間を演出！【役員運転手】
株式会社イメディア | 賞与は平均216万円の実績！高還元率のエンジニアのための会社！,【SE・PG】★業界高水準の給与還元率！やりたい案件を自由に選択
株式会社びわこ運送 | ◆手積み・手降ろしナシ ◆毎日18時～19時までには退勤！,"【ドライバー】※2t/3t/4t ユニック車 ★月給28万3,000円以上"
株式会社ホットスタッフ岡山 | ＜ 岡山・倉敷同時募集 ＞1年目で年収600万円も十分可能です！,ゆとりある暮らしが叶う！【 営業職 】完全週休2日制／転勤なし
株式会社大川建設 | 大手ゼネコンの元請★食堂付き宿舎有★直行直帰OK,*残業月0～20h◎満足感×安定性【とび工】資材積み下ろし一切無
ケイエイツー株式会社 | WEB面接OK／引越代負担あり☆女性活躍中／働き方も応相談,成長性バツグン！【設計】好待遇を実現／月給30万円以上～♪
株式会社明建ハウス | 成果給で高収入を目指せる／ノルマなし／サポート体制充実,反響型だから成果が出やすい！アットホームな会社の【住宅営業】
株式会社ホームケアサービス山口 | #福利厚生抜群　#業界随一の賞与　#資格取得をサポート,地域に貢献できる【ルート営業】☆応募前のカジュアルWEB面談OK
株式会社日本セイユ― | 残業少なめ／寮完備で即入居OK／日・隔土休み,～50代の新入社員も活躍中～【反響営業】◎平均月収48万円
株式会社栃木ケイテクノ | 【東証一部上場の関電工グループ】栃木県トップクラスの実績,【総合職(電気施工管理・電気工事士)】転勤なし／前職給与考慮！
朝日エンタープライズ株式会社 | ―― 安全施設／遊具／体育施設の販売・施工を担う会社 ――,【 施工スタッフ 】未経験OK／年齢不問／完全週休2日制★
株式会社富士鳩急送 | ◆賞与年2回 　◆転勤なし！ ◆月収40万円も可能です！！,好きを仕事に！高収入GETも！【ルート配送】※女性活躍中♪
郡司建設株式会社 | ◆賞与平均3.2ヶ月分支給！年収850万円も可能！前職給与を考慮,資格取得を目指す方も大歓迎！スキルUPを支援！【建築施工管理】
株式会社全国健康センター | 創業50余年の安定した企業！★転勤なしで、高収入で働ける！,★充実の待遇！【ECサイト運営スタッフ】新設部門で活躍を期待！
株式会社ＬＥＯＮＥ | 未経験でも月給25万円以上／2年目以降年収500万円以上も可！,【リフォームアドバイザー】完全週休2日★未経験OK★長期休暇有
キャレット合同会社 | ＃月給40万～ ＃残業少なめ ＃年間休日130日～ #前給保証,【ITエンジニア】フルリモート×フレックスの自由な環境下で活躍
想いコーポレーション株式会社,終活【コンシェルジュ】*未経験OK*終業前の退社も可*高収入可能
株式会社LIV | 大手芸能プロダクションと提携！応募～内定まで1週間以内！,新事業を成功へ【芸能マネージャー／営業】未経験OK・20代活躍中
アフラック生命保険株式会社 | ◎営業経験や保険の知識は不問！◎ブランド力があり営業しやすい,<札幌総合支社募集>【営業職(個人代理店)】★自由な働き方
株式会社月形 | ＼仲が良いから離職者ゼロ／原則土日祝休み｜資格取得支援あり,未経験者歓迎【技術スタッフ】★賞与年6ヶ月分支給実績あり
有限会社エーエフエヌ | オシャレな音楽が流れるオフィスで20～30代を中心に活躍中♪,【インサイドセールス（内勤営業）】月収30万円以上も目指せる！
株式会社バーンフュージョン | 未経験入社の先輩が数多く活躍中｜国家資格取得費用もサポート♪,正社員登用制度有！半導体ウェーハの【品質管理】年間休日180日
有限会社アイデジタル | ◎34歳で年収694万円の実績あり！月8日休み(土日OK)/残業ほぼ0,【販売スタッフ】未経験で高収入を目指せる◆男女問わず活躍中★
くにうみＡＩ証券株式会社 | ★くにうみアセットマネジメントグループ,【海外ファンド営業】完全週休2日制（土日祝）
株式会社エグゼクティブプロテクション | 社員数800名　成長中のセキュリティ企業です。,【外資系入館チェックセキュリティ】パート　月30万円可能です！
アイアール株式会社 | 今世紀最大級の400％成長企業！6年で社員数10名から７００名へ！,年間休日125日◎技術者を採用し、大手ゼネコンと繋ぐ【営業】
ＬＸ　ＰＡＮＴＯＳ　ＪＡＰＡＮ株式会社 | （旧社名：パントスジャパン株式会社）≪LXグループ≫,物流業界経験を活かせる！国際物流の【法人営業】※土日祝休み
株式会社アイ工務店 | 《2月26日(土)マイナビ転職フェア宇都宮に出展予定！》,注文住宅の【反響営業】適正価格が好評！⇒無理なく売りやすい♪
株式会社バンブーフィールド | 8～12日の長期休暇あり／完全週休2日／残業少なめ,【不動産仕入れ営業】圧倒的な仕入れ易さで年収2000万円も実現可
新東総業株式会社 | 「健康経営優良法人」に認定！抜群の基盤と手厚い制度あり,〈新事業〉再生可能エネルギーの【電気施工管理】◎抜群の安定性
ひかりハウジング株式会社 | 【東農地区トップクラスのハウスメーカー】◆インセンティブ豊富,完全自由設計の【住宅営業】★経験者歓迎　★店長候補
株式会社オーム電機 | 60年超の歴史ありで業績も絶好調＊グローバルに事業を展開中！,月給30万/年休120日/完休2日★海外からの【家電用品のバイヤー】
株式会社アジア技術コンサルタンツ | ほとんどが公共事業で安定感抜群！資格手当・管理職手当が充実！,★未経験歓迎！20～40代まで幅広く活躍中！【測量設計】
株式会社ファーストライフ | ニーズが高まる不動産・医療分野で事業を展開！福岡の注目企業◎,《経験者募集》理想の未来をカタチに！【不動産営業】◎学歴不問
スリーエムホーム高知株式会社 | 東証一部上場のLIXILグループが手掛ける『アイフルホーム』FC店,アイフルホームの【反響営業】◎完全週休2日制◎月給25万円以上
株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...Uターン歓迎!引越代サポート,業績賞与年4回【広告宣伝アシスタント】未経験から活躍できる！
株式会社ウンノハウス | ＼ 賞与年4回！／ GW・夏季・年末年始は5～8日休み！,住宅関連の工事経験を活かす！【アフターメンテナンス】
株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"オンリーワン""の住まいづくり【住宅施工管理】"
株式会社ウンノハウス | ☆完全週休2日制☆【研修・勉強会などスキルUPできる環境豊富】,分業制なので業務に集中できる！【インテリアコーディネーター】
株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"安定企業で""オンリーワン""の住まいづくり【住宅設計】"
株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...Uターン歓迎!引越代サポート,業績賞与年4回！ワークライフバランスを実現☆【反響営業】
株式会社丸松ササキ工業 | ★旭川に根付いて30年 ★毎年受注が増加している堅実な経営,★普通免許があれば挑戦OK！ ★月給30万円～【土木技術者】
株式会社小田原ハウジング | 医師が認める”0宣言”の健康住宅／福利厚生◎の安心企業！,家族との時間が作れる【建築施工管理STAFF】連休も高収入もGET。
株式会社丸松ササキ工業 | ★旭川に根付いて30年 ★毎年受注が増加している堅実な経営,★未経験者が半数以上！ ★月給25万円～【土木作業員】
アート引越センター株式会社 | 【コロナ禍でも安定経営】★高収入を実現可！20～30代社員活躍中,【総合職(営業・ドライバー)】平均月収30～35万円/月8～10日休み
株式会社木村土建 | 【創業91年】企業基盤の安定力抜群！応募者は全員面接します！,★即戦力★ 高収入を目指せる【建築施工管理】※月給40万以上可
株式会社創建 | 大阪府緊急雇用対策に賛同／住まいづくりをトータルサポート,理想を住まいを創る【住宅コーディネーター】年収500万円以上！
"東京海上日動あんしん生命保険株式会社 | 新名古屋支社　★完全週休2日制★年収1,000万円も可能！",【コンサル保険営業】★未経験歓迎！目標も自分で設定♪*
株式会社コーユー | 【2/5(土)開催 マイナビ転職フェア千葉＠ペリエ千葉に出展】,＼即日内定可／月収40万円以上も目指せる！【警備スタッフ】
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】千葉募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】大阪募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】岐阜募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛知募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】静岡募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】埼玉募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】長野募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【営業】神奈川募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】茨城募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】兵庫募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】福岡募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】広島募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】群馬募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】京都募集＊未経験歓迎＊年齢不問
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】奈良募集＊未経験歓迎＊年齢不問
五十嵐建設株式会社 | 【働き方次第で高収入も目指せます】大手通信会社の案件多数！,通信インフラの【現場スタッフ】[未]OK／月給25万～
株式会社サンキホーム | 【大阪府緊急雇用対策に賛同】自分に合った働き方が選べる！,【リフォームアドバイザー】完全週休2日 or 週休2日 が選択可能
株式会社ＫＥＮＴ | 保険の総合調査会社　＜自由な働き方で月収40万円以上も可能＞,☆レア求人【損害保険鑑定人】＃副業OK ＃業界高水準の歩合
株式会社ア・ビュー | 〈 対象者全員面接 〉少しでも興味あれば応募してください♪,★第二新卒の歓迎募集★【介護スタッフ】★北陸エリア限定募集
株式会社長内水源工業 | ＼業界トップクラスの業績！／全国でも稀有な温泉掘削会社◎,年収600万円以上も目指せる！【さく井技術者】☆年休120日以上
信陽機材リース販売株式会社 | 東証1部上場・株式会社ワキタのグループ企業,未経験でも月給23万円以上でスタート【技術スタッフ】年休116日
株式会社プリペアド | 個別指導学院ヒーローズ｜コロナ禍でも生徒数増！2校で100名在籍,未経験の挑戦も歓迎【 教室運営スタッフ 】★教室長候補
株式会社中央建設コンサルタント | 《 創業58年の安定・老舗企業 》賞与年3回/長期連続休暇あり,沖縄に根差して年収700万円も目指せる！【 技術士 】転勤なし
積水ハウスノイエ株式会社 | ★賞与年2回（平均6.44ヵ月分）＋決算賞与／残業月平均30h程度★,待遇もキャリアもワンランク上へ【新築住宅の営業】※経験者募集
株式会社ハッピーライフ | ★未経験OK ★完全週休2日制 ／ きれいなオフィスで快適ワーク,お客様にピッタリの住宅会社選び【アドバイザー】☆月給25万円～
平田機工株式会社 | ＜東証一部上場＞世界のものづくりを支える熊本のグローバル企業,キャリアアップ × 好待遇・高収入／スキルを活かす【製造技術】
香川アロー株式会社 | #賞与5ヶ月実績#年収600万円以上も可能,高収入が目指せる!◎LPガス工事の【現場管理】
株式会社鳳陽社 | 日本の優れた商品を海外に輸出する貿易商社,商品の調達を行う【商社営業】◎完全土日祝休み ☆月給30万円～
